"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","점포구분명",
"2415","대규모점포","08_25_01_P","5670000","1993527002207500001","1993-02-08","","01","영업/정상","1","정상영업","","","","","055 2614439","0","","경상남도 창원시 사파동 93호","","","사파동성종합상가","2009-05-15 15:32:26","I","2021-07-02 00:23:01","그 밖의 대규모점포","355105.928564878","192476.072037181","",
"2416","대규모점포","08_25_01_P","5670000","1976528000007500003","1976-11-13","","01","영업/정상","1","정상영업","","","","","05512460 824","","","경상남도 마산시 상남동 40번지 1호","경상남도 창원시 마산합포구 상남시장로 3 (상남동)","","북마산중앙시장","2007-06-30 10:28:07","I","2021-07-02 00:23:01","그 밖의 대규모점포","342982.471963683","191886.973197579","",
"2417","대규모점포","08_25_01_P","5670000","1978528000007500007","1978-08-14","","01","영업/정상","1","정상영업","","","","","0551 2410829","","","경상남도 마산시 산호동 28번지 28호","","","산호시장","2007-06-30 10:28:07","I","2021-07-02 00:23:01","그 밖의 대규모점포","343968.944768579","192153.492701261","",
"2418","대규모점포","08_25_01_P","5670000","1978528000007500009","1978-09-06","","01","영업/정상","1","정상영업","","","","","0551 2924603","","","경상남도 마산시 구암동 88번지 2호","경상남도 창원시 마산회원구 구암남14길 8 (구암동)","","구암시장","2007-06-30 10:28:07","I","2021-07-02 00:23:01","그 밖의 대규모점포","345514.769619205","195643.250507979","",
"2419","대규모점포","08_25_01_P","5670000","1978528000007500017","1978-10-16","","01","영업/정상","1","정상영업","","","","","0551 2563261","","","경상남도 마산시 합성동 326번지 1호","경상남도 창원시 마산회원구 합성남8길 76 (합성동)","","동마산시장","2007-06-30 10:28:07","I","2021-07-02 00:23:01","그 밖의 대규모점포","344437.453458786","194579.625751237","",
"2420","대규모점포","08_25_01_P","5670000","1979528000007500004","1979-06-25","","01","영업/정상","1","정상영업","","","","","0551 2486833","","","경상남도 마산시 회원동 362번지 17호","경상남도 창원시 마산회원구 북성로 153-1 (회원동)","","회원상가시장","2007-06-30 10:28:07","I","2021-07-02 00:23:01","그 밖의 대규모점포","342910.928678369","192428.835214619","",
"2421","대규모점포","08_25_01_P","5670000","1993527002207500002","1993-03-15","","01","영업/정상","1","정상영업","","","","","055 2685605","0","641-845","경상남도 창원시 중앙동 97번지 2호","경상남도 창원시 성산구 중앙대로 77 (중앙동)","","동성올림픽타운","2009-05-15 15:31:23","I","2021-07-02 00:23:01","그 밖의 대규모점포","352674.65906455","192733.124488156","",
"2422","대규모점포","08_25_01_P","5670000","1993527002207500003","1993-07-05","","01","영업/정상","1","정상영업","","","","","055 2380598","7446","","경상남도 창원시 팔용동 16-1호","경상남도 창원시 의창구 창원대로 400 (팔용동)","641-846","창원기계공구상가","2017-07-20 09:16:59","I","2021-07-02 00:23:01","그 밖의 대규모점포","349308.666401516","193974.505754164","대규모점포",
"2423","대규모점포","08_25_01_P","5670000","1993527002207500004","1993-09-27","","01","영업/정상","1","정상영업","","","","","055 2974582","0","641-849","경상남도 창원시 팔용동 124번지 2호","경상남도 창원시 의창구 반계로 95 (팔용동)","","대동중앙상가","2009-05-15 15:26:12","I","2021-07-02 00:23:01","그 밖의 대규모점포","347001.185926747","196266.657999601","",
"2424","대규모점포","08_25_01_P","5670000","1993527002207500005","1993-09-27","","01","영업/정상","1","정상영업","","","","","055 2685260","0","","경상남도 창원시 중앙동 97-6호","","","창원캔버라타운","2009-05-15 15:24:42","I","2021-07-02 00:23:01","그 밖의 대규모점포","","","",
"2425","대규모점포","08_25_01_P","5670000","1994527002207500001","1994-01-29","","01","영업/정상","1","정상영업","","","","","055-265-1237","4959.95","","경상남도 창원시 봉곡동 호 61-10,16,17번지","","","봉곡진보프라자상가","2010-04-06 10:11:47","I","2021-07-02 00:23:01","그 밖의 대규모점포","","","",
"2426","대규모점포","08_25_01_P","5670000","1994527002207500002","1994-06-21","","01","영업/정상","1","정상영업","","","","","055 267 3196","25297","","경상남도 창원시 상남동 45-1호","경상남도 창원시 성산구 동산로 124 (상남동)","642-915","성원그랜드종합상가","2016-02-23 14:56:57","I","2021-07-02 00:23:01","그 밖의 대규모점포","353991.929834837","192136.233221503","대규모점포",
"2427","대규모점포","08_25_01_P","5670000","2003527018207500001","2003-06-23","","01","영업/정상","1","정상영업","","","","","055 212 8063","8123","","경상남도 창원시 성산구 상남동 44번지 1호 대동백화점","경상남도 창원시 성산구 원이대로 730, 대동백화점 1층 (상남동)","51498","대동백화점","2018-09-20 20:31:26","I","2021-07-02 00:23:01","백화점","353660.889782198","192440.577505521","대규모점포",
"2428","대규모점포","08_25_01_P","5670000","2004527009307500001","2004-05-06","","01","영업/정상","1","정상영업","","","","","055-211-1053","0","","경상남도 창원시 중앙동 91호","경상남도 창원시 성산구 원이대로 608 (중앙동)","","신세계 이마트 창원점","2008-11-19 10:50:59","I","2021-07-02 00:23:01","대형마트","352870.655048828","193192.657445858","",
"2429","대규모점포","08_25_01_P","5670000","2004527009307500002","2004-05-06","","01","영업/정상","1","정상영업","","","","","055-211-1053","10909","","경상남도 창원시 중앙동 91호","경상남도 창원시 성산구 원이대로 608 (중앙동)","","신세계 이마트 창원점","2008-11-19 14:12:45","I","2021-07-02 00:23:01","대형마트","352870.655048828","193192.657445858","",
"2430","대규모점포","08_25_01_P","5670000","2004527009307500003","2004-11-08","","01","영업/정상","1","정상영업","","","","2006-09-02","055-270-7000","18434","","경상남도 창원시 의창구 팔용동 30-1 뉴코아아울렛","경상남도 창원시 의창구 창원대로397번길 6, 뉴코아아울렛 (팔용동)","51393","뉴코아아울렛 창원점","2023-01-04 18:04:10","U","2023-01-06 02:40:00","그 밖의 대규모점포","349399.970745622","194048.334675704","대규모점포",
"2431","대규모점포","08_25_01_P","5670000","2005527012907500001","2005-04-13","","01","영업/정상","1","정상영업","","","","","055-211-1053","10909","","경상남도 창원시 중앙동 91호","경상남도 창원시 성산구 원이대로 608 (중앙동)","","신세계 이마트 창원점","2008-11-19 11:36:46","I","2021-07-02 00:23:01","대형마트","352870.655048828","193192.657445858","",
"2432","대규모점포","08_25_01_P","5670000","2005532006207500001","2005-03-04","","01","영업/정상","1","정상영업","","","","","055 540 7050","11630.56","","경상남도 진해시 석동 543-5호","경상남도 창원시 진해구 진해대로 762 (석동)","645-280","롯데쇼핑(주)롯데마트진해점","2022-05-02 19:21:39","U","2022-05-04 02:40:00","대형마트","354711.697540492","185657.659582022","대규모점포",
"2433","대규모점포","08_25_01_P","5670000","2006527012907500002","2006-11-25","","01","영업/정상","1","정상영업","","","","","","3382.79","642-818","경상남도 창원시 성산구 반림동 17번지 9호 10호","경상남도 창원시 성산구 반송로 148-9 (반림동,10호)","","반송아이필프라자","2011-06-15 10:25:46","I","2021-07-02 00:23:01","그 밖의 대규모점포","352078.381388973","194234.704691712","",
"2434","대규모점포","08_25_01_P","5670000","2007528015507500001","2007-02-06","","01","영업/정상","1","정상영업","","","","","055 232 0114","5335.55","","경상남도 마산시 내서읍 중리 695호","경상남도 창원시 마산회원구 내서읍 유통단지로 23","","내서농업협동조합 하나로마트","2014-09-19 09:13:37","I","2021-07-02 00:23:01","대형마트","337551.466399911","196032.212570051","대규모점포",
"2435","대규모점포","08_25_01_P","5670000","2007528015507500003","2007-07-27","","01","영업/정상","1","정상영업","","","","","2563261","813.19","630-520","경상남도 마산시 합성동 326-1번지","","","동마산시장","2007-07-27 15:35:38","I","2021-07-02 00:23:01","그 밖의 대규모점포","","","",
"2436","대규모점포","08_25_01_P","5670000","2008527018207500001","2008-06-02","","01","영업/정상","1","정상영업","","","","","055-385-2500","10040.05","","경상남도 창원시 성산구 대원동 121 더시티세븐","경상남도 창원시 성산구 원이대로 320, 더시티세븐 (대원동)","51408","롯데쇼핑(주) 롯데마트 시티세븐점","2023-02-06 19:16:17","U","2023-02-08 02:40:00","대형마트","350381.455011533","194669.203835745","대규모점포",
"2437","대규모점포","08_25_01_P","5670000","2008527018207500002","2008-06-02","","01","영업/정상","1","정상영업","","","","","055 600 5100","25143.94","","경상남도 창원시 성산구 대원동 121 더시티세븐","경상남도 창원시 성산구 원이대로 320, 더시티세븐 (대원동)","51408","City7 Mall","2023-02-06 19:18:18","U","2023-02-08 02:40:00","그 밖의 대규모점포","350381.455011533","194669.203835745","대규모점포",
"2438","대규모점포","08_25_01_P","5670000","2008528017007500001","2006-10-16","","01","영업/정상","1","정상영업","","","","","055-711-1052","0","631-423","경상남도 마산시 중앙동3가 4번지 1호","경상남도 창원시 마산합포구 서성로 3 (중앙동3가)","","(주)신세계마트 이마트 마산점","2008-01-24 17:29:43","I","2021-07-02 00:23:01","대형마트","342886.064848583","189864.336045851","",
"2439","대규모점포","08_25_01_P","5670000","2008528017007500002","2008-02-11","","01","영업/정상","1","정상영업","","","","","055 711 1052","11192","631-870","경상남도 창원시 마산합포구 중앙동3가 4번지 1호","경상남도 창원시 마산합포구 서성로 3 (중앙동3가)","","(주) 이마트 마산점","2020-04-29 17:12:12","I","2021-07-02 00:23:01","대형마트","342886.064848583","189864.336045851","대규모점포",
"2440","대규모점포","08_25_01_P","5670000","2008528017007500003","2007-02-02","","01","영업/정상","1","정상영업","","","","","240-5000","0","631-712","경상남도 마산시 신포동2가 28번지 대우백화점","경상남도 창원시 마산합포구 동서동로 18 (신포동2가,대우백화점)","","(주)대우인터내서널 대우백화점","2008-09-24 17:17:11","I","2021-07-02 00:23:01","백화점","343212.800421554","190266.65987154","",
"2441","대규모점포","08_25_01_P","5670000","2008528017007500004","2008-11-26","","01","영업/정상","1","정상영업","","","","","240-5000","29243.56","631-712","경상남도 마산시 신포동2가 28번지 대우백화점","경상남도 창원시 마산합포구 동서동로 18 (신포동2가)","631-712","롯데백화점 마산점","2022-05-02 19:31:37","U","2022-05-04 02:40:00","백화점","343212.800421554","190266.65987154","대규모점포",
"2442","대규모점포","08_25_01_P","4200000","1977420008507500001","1977-10-08","","01","영업/정상","1","정상영업","","","","","033 6489136","","","강원도 강릉시 용강동 29호","강원도 강릉시 임영로155번길 6 (용강동)","","강릉서부시장","2011-11-21 09:55:09","I","2018-08-31 23:59:59","그 밖의 대규모점포","366564.34266928","474192.135182166","",
"2443","대규모점포","08_25_01_P","4200000","2000420000007500001","1977-06-15","","01","영업/정상","1","정상영업","","","","","033 6485976","","","강원도 강릉시 옥천동 223호","강원도 강릉시 옥천로 48 (옥천동)","","사) 동부시장","2007-07-14 11:05:40","I","2018-08-31 23:59:59","그 밖의 대규모점포","367443.601105971","474756.310270998","",
"2444","대규모점포","08_25_01_P","4200000","2000420001907500001","1977-06-15","","01","영업/정상","1","정상영업","","","","","033 6485976","","","강원도 강릉시 옥천동 223호","강원도 강릉시 옥천로 48 (옥천동)","","사) 동부시장","2007-07-14 11:05:40","I","2018-08-31 23:59:59","그 밖의 대규모점포","367443.601105971","474756.310270998","",
"2445","대규모점포","08_25_01_P","4200000","2000420001907500002","1977-10-08","","01","영업/정상","1","정상영업","","","","","033 6489136","5462","","강원도 강릉시 용강동 29호","강원도 강릉시 임영로155번길 6 (용강동)","","(사)강릉서부시장번영회","2022-06-27 17:56:11","U","2022-06-29 02:40:00","시장","366564.34266928","474192.135182166","대규모점포",
"2446","대규모점포","08_25_01_P","4200000","2000420001907500003","1980-01-18","","01","영업/정상","1","정상영업","","","","","033 6482285","7449","","강원도 강릉시 성남동 50호","강원도 강릉시 금성로 21 (성남동)","","사단법인 강릉중앙시장번영회","2021-06-23 10:23:35","U","2021-06-25 02:40:00","시장","367255.878725242","474087.754397503","대규모점포",
"2447","대규모점포","08_25_01_P","4200000","2000420001907500004","1986-07-03","","01","영업/정상","1","정상영업","","","","","033 6628011","","","강원도 강릉시 주문진읍 주문리 312-91호","","","주) 주문진시장","2007-07-14 11:05:40","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","",
"2448","대규모점포","08_25_01_P","4200000","2000420001907500005","1987-06-25","","01","영업/정상","1","정상영업","","","","","033 6475285","","","강원도 강릉시 주문진읍 주문리 312-91호","","","주) 포남시장","2007-07-14 11:05:40","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","",
"2449","대규모점포","08_25_01_P","4200000","2000420001907500006","1995-03-25","","01","영업/정상","1","정상영업","","","","","033 6519622","","","강원도 강릉시 포남동 1293 - 2호","","","사)청송상가시장","2007-07-14 11:05:40","I","2018-08-31 23:59:59","그 밖의 대규모점포","368582.995749496","476191.948640647","",
"2450","대규모점포","08_25_01_P","4200000","2000420001907500008","1994-12-30","","01","영업/정상","1","정상영업","","","","","033 6476707","","","강원도 강릉시 노암동 390호","","","사)노암한라시장","2007-07-14 11:05:40","I","2018-08-31 23:59:59","그 밖의 대규모점포","367565.639850681","473063.933064057","",
"2451","대규모점포","08_25_01_P","4200000","2009420011507500002","2009-09-24","","01","영업/정상","1","정상영업","","","","","033-645-9800","16617","210-933","강원도 강릉시 옥천동 189번지","강원도 강릉시 경강로 2120 (옥천동)","","강릉 씨네몰","2011-10-31 09:30:02","I","2018-08-31 23:59:59","쇼핑센터","367257.089561415","474274.357968797","대규모점포",
"2452","대규모점포","08_25_01_P","4200000","2010420011507500001","2002-12-13","","01","영업/정상","1","정상영업","","","","2002-12-13","033)6491052","8263.39","210-140","강원도 강릉시 송정동 1008번지 7호","강원도 강릉시 경강로 2398-10 (송정동)","","(주)이마트강릉점","2020-04-27 16:35:38","U","2020-04-29 02:40:00","대형마트","369334.629080122","475954.381315576","대규모점포",
"2453","대규모점포","08_25_01_P","4260000","2009426005907500001","1998-08-04","","01","영업/정상","1","정상영업","","","","2006-05-31","342-2389","3174","","","강원도 횡성군 횡성읍 읍상서로5번길 26","225-807","(사)횡성시장조합","2014-09-18 11:18:00","I","2018-08-31 23:59:59","시장","287236.72400732","443498.929610833","대규모점포",
"2454","대규모점포","08_25_01_P","4180000","1983418001607514012","1983-03-30","","01","영업/정상","1","정상영업","","","","","033 2421561","5544.6","200-954","강원도 춘천시 효자1동 684번지 11호","강원도 춘천시 공지로 367 (효자동)","200-954","사단법인 춘천남부시장조합","2012-04-02 17:34:48","I","2018-08-31 23:59:59","그 밖의 대규모점포","263776.104141899","485573.469431416","대규모점포",
"2455","대규모점포","08_25_01_P","4180000","1996418001607500003","2020-03-05","","01","영업/정상","1","정상영업","","","","","033 2435588","3493.65","200-943","강원도 춘천시 퇴계동 381번지 1호","강원도 춘천시 영서로 2195 (퇴계동)","200-943","롯데슈퍼 춘천점","2020-03-05 11:08:22","U","2020-03-07 02:40:00","대형마트","264048.38885859","484444.290618198","준대규모점포",
"2456","대규모점포","08_25_01_P","4180000","1997418001607500001","1997-08-08","","01","영업/정상","1","정상영업","","","","","033 2607000","","","호","","","LG마트춘천점","2007-07-21 10:12:48","I","2018-08-31 23:59:59","대형마트","","","",
"2457","대규모점포","08_25_01_P","4180000","2005418016607500001","2005-11-03","","01","영업/정상","1","정상영업","","","","","033 240 1052","9722.01","200-938","강원도 춘천시 온의동 511번지","강원도 춘천시 경춘로 2353 (온의동)","200-938","(주)이마트 춘천점","2020-05-04 14:37:11","U","2020-05-06 02:40:00","대형마트","263141.943193102","484821.289677657","대규모점포",
"2458","대규모점포","08_25_01_P","4180000","2009418016607500001","2009-11-27","","01","영업/정상","1","정상영업","","","","","033-248-7000","9687.55","200-070","강원도 춘천시 조양동 34번지","강원도 춘천시 금강로 68-9 (조양동)","200-942","(주)메가마트 엠 춘천점","2022-06-28 19:42:47","U","2022-06-30 02:40:00","백화점","264033.833068137","486464.959442249","대규모점포",
"2459","대규모점포","08_25_01_P","3690000","2005369006007500002","2005-10-14","","01","영업/정상","1","정상영업","","","","","052-243-2911","12046.4","","울산광역시 중구 성남동 256번지 24호","울산광역시 중구 젊음의2거리 33 (성남동)","681-812","(유) 에브라임이노베이션 울산지점","2021-12-29 15:04:42","U","2021-12-31 02:40:00","쇼핑센터","410346.764882793","230634.46944722","대규모점포",
"2460","대규모점포","08_25_01_P","3690000","2006369006007500001","2001-11-06","","01","영업/정상","1","정상영업","","","","","052 2908123","17700","681-809","울산광역시 중구 복산2동 100번지","울산광역시 중구 번영로 475 (복산동)","681-809","홈플러스(주) 울산점","2021-06-07 15:32:56","U","2021-06-09 02:40:00","대형마트","411601.338446216","231915.243733168","대규모점포",
"2461","대규모점포","08_25_01_P","3690000","2006369006007500002","2006-08-17","","01","영업/정상","1","정상영업","","","","","210-5000","7177.98","","울산광역시 중구 성남동 249번지 1호","울산광역시 중구 시계탑거리 20 (성남동)","681-812","뉴코아아울렛 울산성남점","2022-12-02 17:13:54","U","2022-12-04 02:40:00","쇼핑센터","410428.96363435","230775.002193437","대규모점포",
"2462","대규모점포","08_25_01_P","3690000","2006369006007500003","2003-01-13","","01","영업/정상","1","정상영업","","","","","052-241-5000","8154.01","","울산광역시 중구 옥교동 120번지 2  호","울산광역시 중구 번영로 329 (옥교동)","681-190","(주)우남산업 센트럴프라자","2021-08-10 10:09:36","U","2021-08-12 02:40:00","전문점","410611.641058791","230826.405302134","대규모점포",
"2463","대규모점포","08_25_01_P","3690000","2014369009907500001","2011-07-25","","01","영업/정상","1","정상영업","","","","","052-246-8116","418","","울산광역시 중구 태화동 37-29","울산광역시 중구 명륜로 23 (태화동)","44452","(주)지에스리테일 GS더프레시 울산태화점","2021-03-03 10:35:24","U","2021-03-05 02:40:00","구분없음","409276.15205248","230745.196101658","준대규모점포",
"2464","대규모점포","08_25_01_P","5690000","2015569013607500001","2015-01-09","","01","영업/정상","1","정상영업","","","","","044-902-1234","13996.41","","세종특별자치시 가람동 406번지 이마트세종점","세종특별자치시 금송로 687, 이마트세종점 (가람동)","30065","이마트 세종점","2018-07-06 15:27:28","I","2018-08-31 23:59:59","대형마트","222425.493016349","330046.389124869","대규모점포",
"2465","대규모점포","08_25_01_P","5690000","2016569013607500003","2016-06-15","","01","영업/정상","1","정상영업","","","","","1899-9900","13750.56","","세종특별자치시 대평동 584번지 7호 코스트코 세종점","세종특별자치시 종합운동장1로 14, 코스트코 세종점 (대평동)","30154","코스트코 홀세일 세종점","2018-10-30 10:59:35","U","2018-11-01 02:37:43","대형마트","224057.825004564","329646.154691509","대규모점포",
"2466","대규모점포","08_25_01_P","5690000","2018569020007500001","2018-07-06","","01","영업/정상","1","정상영업","","","","","02-3404-4941","13122.66","","세종특별자치시 어진동 539번지","세종특별자치시 한누리대로 411 (어진동)","30116","KT&G Mall 세종A관","2019-02-12 18:04:31","U","2019-02-14 02:40:00","그 밖의 대규모점포","223120.094210618","333376.484678264","대규모점포",
"2467","대규모점포","08_25_01_P","4450000","2011445005307500001","2011-12-07","","01","영업/정상","1","정상영업","","","","","043-536-2303","1243.02","365-803","충청북도 진천군 진천읍 교성리 206번지 1호","충청북도 진천군 진천읍 남산길 78","365-803","(주)지에스리테일 진천점","2016-02-05 11:08:56","I","2018-08-31 23:59:59","그 밖의 대규모점포","239497.37327675","372568.007341718","준대규모점포",
"2468","대규모점포","08_25_01_P","5690000","2008456001007500001","2008-05-09","","01","영업/정상","1","정상영업","","","","","044-861-8124","8459.4","339-804","세종특별자치시 조치원읍 번암리 53번지","세종특별자치시 조치원읍 허만석로 60","339-804","홈플러스(주) 조치원점","2021-02-17 09:34:23","U","2021-02-19 02:40:00","대형마트","226564.668968332","342839.206240872","대규모점포",
"2469","대규모점포","08_25_01_P","5690000","2014569002107500001","2014-07-25","","01","영업/정상","1","정상영업","","","","","044-715-8124","23716","","세종특별자치시 어진동 503번지 홈플러스 세종점","세종특별자치시 절재로 154 (어진동)","30102","홈플러스(주) 세종점","2021-02-17 10:28:55","U","2021-02-19 02:40:00","쇼핑센터","223118.17941601","334063.124365711","대규모점포",
"2470","대규모점포","08_25_01_P","3150000","2011315012307500001","2011-01-18","","01","영업/정상","1","정상영업","","","","","000261164000","77670","157-222","서울특별시 강서구 방화2동 886번지 외6필지","서울특별시 강서구 하늘길 38 (방화동, 롯데몰 김포공항)","157-220","롯데몰 김포공항","2022-05-02 14:02:53","U","2022-05-04 02:40:00","쇼핑센터","182524.823835629","451438.25089679","대규모점포",
"2471","대규모점포","08_25_01_P","3090000","2012309013407500001","2012-01-05","","01","영업/정상","1","정상영업","","","","2012-01-05","903-0900","784.04","132-042","서울특별시 도봉구 창2동 628번지 20호","서울특별시 도봉구 도봉로104길 53 (창동)","132-042","(주)에브리데이리테일 창동점","2014-10-17 15:07:34","I","2018-08-31 23:59:59","구분없음","203027.627111443","460124.418353378","준대규모점포",
"2472","대규모점포","08_25_01_P","3090000","2012309013407500002","2012-03-15","","01","영업/정상","1","정상영업","","","","","903-5601","705.1","132-032","서울특별시 도봉구 쌍문2동 19번지","서울특별시 도봉구 도당로 10 (쌍문동)","132-858","롯데슈퍼 쌍문점","2022-04-20 10:54:20","U","2022-04-23 02:40:00","구분없음","203048.669322526","461867.647869631","준대규모점포",
"2473","대규모점포","08_25_01_P","3090000","2012309013407500003","2012-03-18","","01","영업/정상","1","정상영업","","","","","903-5602","197.7","132-041","서울특별시 도봉구 창1동 651번지 36호","서울특별시 도봉구 도봉로110길 65 (창동)","132-925","롯데슈퍼 창동점","2022-04-20 10:53:34","U","2022-04-23 02:40:00","구분없음","203207.625254256","460455.837628654","준대규모점포",
"2474","대규모점포","08_25_01_P","3090000","2003309008707500846","2003-06-25","","01","영업/정상","1","정상영업","","","","","000209122080","15851.56","132-854","서울특별시 도봉구 방학동 707번지 7호","서울특별시 도봉구 도봉로 678 (방학동)","132-854","홈플러스(주)방학점","2021-06-04 09:09:47","U","2021-06-06 02:40:00","대형마트","203790.013568785","462495.417040876","대규모점포",
"2475","대규모점포","08_25_01_P","3090000","2007309010507500001","2006-09-04","","01","영업/정상","1","정상영업","","","","","02-907-0033","5648.26","132-918","서울특별시 도봉구 창동 581번지 28호","서울특별시 도봉구 덕릉로57길 30 (창동)","132-918","삼익쇼핑","2014-09-29 17:07:06","I","2018-08-31 23:59:59","그 밖의 대규모점포","203220.921406024","459746.924430501","대규모점포",
"2476","대규모점포","08_25_01_P","3090000","2010309010507500001","2010-04-02","","01","영업/정상","1","정상영업","","","","","02-901-1050","4297.5","132-904","서울특별시 도봉구 창동 135번지 26호","서울특별시 도봉구 노해로65길 4 (창동)","132-904","(주) 이마트 창동점","2020-05-07 16:50:57","U","2020-05-09 02:40:00","대형마트","204107.090272108","461072.642448925","대규모점포",
"2477","대규모점포","08_25_01_P","3090000","2011309013407500001","2011-09-26","","01","영업/정상","1","정상영업","","","","","903-0900","1095.47","132-042","서울특별시 도봉구 창2동 628번지 20호","서울특별시 도봉구 도봉로104길 53 (창동)","132-042","(주)에브리데이리테일 창동점","2014-09-25 13:41:44","I","2018-08-31 23:59:59","구분없음","203027.627111443","460124.418353378","준대규모점포",
"2478","대규모점포","08_25_01_P","3090000","2012309013407500004","2012-03-15","","01","영업/정상","1","정상영업","","","","","3491-4297","844.9","132-828","서울특별시 도봉구 방학3동 271번지 2호","서울특별시 도봉구 방학로 223 (방학동)","132-828","롯데슈퍼 방학점","2022-04-20 10:42:21","U","2022-04-23 02:40:00","구분없음","202326.175760253","462116.40856417","준대규모점포",
"2479","대규모점포","08_25_01_P","3240000","2004324010607500001","2004-05-24","","01","영업/정상","1","정상영업","","","","","000204782635","4075.83","134-890","서울특별시 강동구 성내동 428번지 2호","서울특별시 강동구 양재대로89길 16 (성내동)","134-890","파크프라자 상가","2014-10-15 14:25:41","I","2018-08-31 23:59:59","그 밖의 대규모점포","211838.35431041","447195.676766748","대규모점포",
"2480","대규모점포","08_25_01_P","3240000","2005324010607500002","2005-03-31","","01","영업/정상","1","정상영업","","","","","2224 1053","9081","","서울특별시 강동구 천호동 454번지 1호","서울특별시 강동구 천호대로 1017 (천호동)","134-874","(주)이마트천호점","2020-04-22 13:03:49","U","2020-04-24 02:40:00","대형마트","211025.924972294","448495.189151526","대규모점포",
"2481","대규모점포","08_25_01_P","3240000","2005324011907500002","2005-05-09","","01","영업/정상","1","정상영업","","","","","02 4850731","5374.49","","서울특별시 강동구 천호동 422번지 2호","","","천호신시장","2014-10-13 19:42:04","I","2018-08-31 23:59:59","시장","211252.735515916","448823.39875114","대규모점포",
"2482","대규모점포","08_25_01_P","3240000","2006324011907500002","2006-05-25","","01","영업/정상","1","정상영업","","","","","02-2224-6600","17600","134-873","서울특별시 강동구 천호동 563번지","서울특별시 강동구 구천면로 189 (천호동)","134-873","이천일아울렛 천호점","2022-12-12 11:55:07","U","2022-12-14 02:40:00","그 밖의 대규모점포","211055.486155787","448786.697371515","대규모점포",
"2483","대규모점포","08_25_01_P","3240000","2006324011907500003","2006-07-21","","01","영업/정상","1","정상영업","","","","","0234319000","3295.46","134-840","서울특별시 강동구 성내동 25번지 1호","서울특별시 강동구 천호대로162길 34 (성내동)","134-840","이안강동주상복합상가","2014-10-15 13:36:10","I","2018-08-31 23:59:59","그 밖의 대규모점포","211238.661063855","448150.595848877","대규모점포",
"2484","대규모점포","08_25_01_P","3240000","2007324013907500001","2007-06-05","","01","영업/정상","1","정상영업","","","","","02-3393-3466","3513.8","134-814","서울특별시 강동구 길동 414번지 10호","서울특별시 강동구 진황도로 99 (길동)","134-814","강동한신휴플러스","2015-11-26 18:04:34","I","2018-08-31 23:59:59","그 밖의 대규모점포","212081.019857419","448209.124823551","대규모점포",
"2485","대규모점포","08_25_01_P","3240000","2009324013907500001","2008-11-07","","01","영업/정상","1","정상영업","","","","","000234008000","14176","134-861","서울특별시 강동구 천호동 42번지","서울특별시 강동구 양재대로 1571 (천호동)","134-861","홈플러스 강동점","2021-06-07 19:12:12","U","2021-06-09 02:40:00","대형마트","212501.369116329","449282.31038379","대규모점포",
"2486","대규모점포","08_25_01_P","3240000","2010324013907500001","2010-05-06","","01","영업/정상","1","정상영업","","","","","02-470-9205","3620.92","134-811","서울특별시 강동구 길동 339번지 1호","서울특별시 강동구 양재대로124길 32 (길동)","134-811","동서울오네뜨상가","2014-10-07 20:38:06","I","2018-08-31 23:59:59","그 밖의 대규모점포","212624.891449347","448937.811380947","대규모점포",
"2487","대규모점포","08_25_01_P","3240000","2011324013907500002","2011-09-27","","01","영업/정상","1","정상영업","","","","","4763708","1494.61","134-830","서울특별시 강동구 명일1동 312번지 99호","서울특별시 강동구 양재대로 1630 (명일동)","134-071","(주)지에스리테일 명일점","2016-02-16 09:08:21","I","2018-08-31 23:59:59","구분없음","212676.162193508","449910.881572138","준대규모점포",
"2488","대규모점포","08_25_01_P","3240000","1999324013907500001","1999-04-12","","01","영업/정상","1","정상영업","","","","","02-2225-8701","36175","","서울특별시 강동구 천호동 455번지 8호","서울특별시 강동구 천호대로 1005 (천호동, 현대백화점)","134-779","현대백화점 천호점","2020-05-04 11:34:06","U","2020-05-06 02:40:00","백화점","210929.919693661","448537.406728283","대규모점포",
"2489","대규모점포","08_25_01_P","3240000","2002324007307500000","2002-11-20","","01","영업/정상","1","정상영업","","","","","0221451051","8659","","서울특별시 강동구 명일동 46번지 4 호","서울특별시 강동구 고덕로 276 (명일동)","134-825","(주)이마트명일점","2020-04-22 13:07:50","U","2020-04-24 02:40:00","대형마트","213700.877714971","450278.100930843","대규모점포",
"2490","대규모점포","08_25_01_P","3130000","2012313011807500001","2012-03-22","","01","영업/정상","1","정상영업","","","","","706-7272","1561.5","121-130","서울특별시 마포구 구수동 61번지","서울특별시 마포구 토정로 193 (구수동)","","롯데슈퍼 마포점","2020-03-17 11:24:20","U","2020-03-19 02:40:00","그 밖의 대규모점포","193981.312705953","449301.692398118","준대규모점포",
